Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
184,Lukáš Červ,MF,cz Czechia,25,2001,1.8,0,3,2,66.7,1.66,1.1,0.0,0.0,0,0,Matches,bb4a41bc,66.66666666666666,0.03333333333334565
927,Aurélien Tchouaméni,MF,fr France,26,2000,4.0,0,3,0,0.0,0.75,0.0,0.0,,0,0,Matches,4f255115,0.0,0.0
555,Riyad Mahrez,MF,dz Algeria,35,1991,2.9,2,6,3,50.0,2.06,1.03,0.33,0.67,0,0,Matches,892d5bb1,50.0,0.0
627,Teboho Mokoena,MF,za South Africa,29,1997,3.0,1,4,2,50.0,1.33,0.67,0.25,0.5,1,1,Matches,00029b1e,50.0,0.0
818,Bukayo Saka,MF,eng England,24,2001,4.0,3,13,7,53.8,3.27,1.76,0.23,0.43,1,1,Matches,bc7dc64d,53.84615384615385,0.04615384615384954
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,6,1,16.7,1.18,0.2,0.0,0.0,0,0,Matches,407feb71,16.666666666666664,0.03333333333333499
553,Ermin Mahmić,MF,ba Bosnia–Herz,21,2005,0.8,2,4,2,50.0,5.29,2.65,0.5,1.0,0,0,Matches,86e34165,50.0,0.0
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0,Matches,16264a81,25.0,0.0
957,Manuel Ugarte,MF,uy Uruguay,25,2001,2.0,0,3,1,33.3,1.47,0.49,0.0,0.0,0,0,Matches,c9817014,33.33333333333333,0.03333333333333144
441,Junya Itō,MF,jp Japan,33,1993,2.4,1,3,1,33.3,1.25,0.42,0.33,1.0,0,0,Matches,dbd3a428,33.33333333333333,0.03333333333333144
