Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
131,Rodrigo Bentancur,MF,uy Uruguay,28,1997,3.0,0,4,0,0.0,1.33,0.0,0.0,,0,0,Matches,3b8674e6,0.0,0.0
132,Patrick Berg,MF,no Norway,28,1997,4.9,0,3,0,0.0,0.61,0.0,0.0,,0,0,Matches,e4114f5d,0.0,0.0
135,Sebastian Berhalter,MF,us USA,25,2001,2.1,1,3,1,33.3,1.44,0.48,0.33,1.0,0,0,Matches,f33ee427,33.33333333333333,0.03333333333333144
140,Oscar Bobb,FW,no Norway,22,2003,2.5,0,4,2,50.0,1.6,0.8,0.0,0.0,0,0,Matches,eed2427e,50.0,0.0
145,Ayyoub Bouaddi,MF,ma Morocco,18,2007,4.2,0,3,0,0.0,0.71,0.0,0.0,,0,0,Matches,8006228f,0.0,0.0
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,3,4,3,75.0,1.61,1.21,0.75,1.0,0,0,Matches,4c184730,75.0,0.0
157,Tajon Buchanan,MF,ca Canada,27,1999,4.2,0,6,3,50.0,1.44,0.72,0.0,0.0,0,0,Matches,3aca6420,50.0,0.0
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,1,3,1,33.3,1.74,0.58,0.33,1.0,0,0,Matches,8f3565b3,33.33333333333333,0.03333333333333144
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0,Matches,16264a81,25.0,0.0
171,Hakan Çalhanoğlu,MF,tr Türkiye,32,1994,2.0,0,11,2,18.2,5.5,1.0,0.0,0.0,0,0,Matches,cd0fa27b,18.181818181818183,0.018181818181815856
172,Lamine Camara,MF,sn Senegal,22,2004,2.8,0,3,0,0.0,1.09,0.0,0.0,,0,0,Matches,19c2ffa4,0.0,0.0
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,1,4,1,25.0,1.61,0.4,0.25,1.0,0,0,Matches,4f5a2f38,25.0,0.0
178,Casemiro,MF,br Brazil,34,1992,4.2,1,4,2,50.0,0.95,0.47,0.25,0.5,0,0,Matches,4d224fe8,50.0,0.0
184,Lukáš Červ,MF,cz Czechia,25,2001,1.8,0,3,2,66.7,1.66,1.1,0.0,0.0,0,0,Matches,bb4a41bc,66.66666666666666,0.03333333333334565
185,Fares Chaïbi,MF,dz Algeria,23,2002,4.0,0,9,3,33.3,2.25,0.75,0.0,0.0,0,0,Matches,357103bd,33.33333333333333,0.03333333333333144
195,Tahith Chong,MF,cw Curaçao,26,1999,2.7,0,4,2,50.0,1.46,0.73,0.0,0.0,0,0,Matches,2696b6a9,50.0,0.0
203,Livano Comenencia,MF,cw Curaçao,22,2004,2.6,1,5,2,40.0,1.93,0.77,0.2,0.5,0,0,Matches,c9d96dc1,40.0,0.0
220,Matheus Cunha,FW,br Brazil,27,1999,3.2,3,11,5,45.5,3.41,1.55,0.27,0.6,0,0,Matches,dc62b55d,45.45454545454545,0.045454545454546746
227,Jonathan David,FW,ca Canada,26,2000,4.7,3,18,8,44.4,3.86,1.71,0.17,0.38,0,0,Matches,ce50fd99,44.44444444444444,0.04444444444444429
228,Promise David,FW,ca Canada,24,2001,0.9,1,5,3,60.0,5.63,3.38,0.2,0.33,0,0,Matches,dbe19468,60.0,0.0
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,2.7,0,3,0,0.0,1.1,0.0,0.0,,0,0,Matches,60ee859c,0.0,0.0
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,20,5,25.0,4.71,1.18,0.05,0.2,0,0,Matches,e46012d4,25.0,0.0
238,Nicolás De La Cruz,MF,uy Uruguay,29,1997,1.0,0,4,2,50.0,4.19,2.09,0.0,0.0,0,0,Matches,8fda5c72,50.0,0.0
243,Ousmane Dembélé,MF,fr France,29,1997,6.6,6,20,10,50.0,3.04,1.52,0.3,0.6,0,0,Matches,b19db005,50.0,0.0
245,Ermedin Demirović,FW,ba Bosnia–Herz,28,1998,3.9,0,4,4,100.0,1.02,1.02,0.0,0.0,0,0,Matches,ed79b7d3,100.0,0.0
246,Sergiño Dest,MF,us USA,25,2000,3.3,0,3,1,33.3,0.91,0.3,0.0,0.0,0,0,Matches,5976f83e,33.33333333333333,0.03333333333333144
251,Habib Diarra,MF,sn Senegal,22,2004,1.6,2,4,2,50.0,2.52,1.26,0.5,1.0,0,0,Matches,6d0fe035,50.0,0.0
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,6,1,16.7,1.18,0.2,0.0,0.0,0,0,Matches,407feb71,16.666666666666664,0.03333333333333499
266,Jeremy Doku,MF,be Belgium,24,2002,3.4,0,3,1,33.3,0.87,0.29,0.0,0.0,0,0,Matches,fffea3e5,33.33333333333333,0.03333333333333144
268,David Douděra,MF,cz Czechia,28,1998,1.0,0,4,0,0.0,4.0,0.0,0.0,,0,0,Matches,e95b4604,0.0,0.0
269,Désiré Doué,MF,fr France,21,2005,4.4,1,13,8,61.5,2.93,1.8,0.08,0.13,0,0,Matches,9e7483ff,61.53846153846154,0.0384615384615401
271,Deroy Duarte,MF,cv Cabo Verde,26,1999,2.9,1,3,2,66.7,1.02,0.68,0.33,0.5,0,0,Matches,6af8fc5b,66.66666666666666,0.03333333333334565
272,Laros Duarte,MF,cv Cabo Verde,29,1997,1.8,0,3,3,100.0,1.63,1.63,0.0,0.0,0,0,Matches,4af3d3c8,100.0,0.0
276,Edin Džeko,FW,ba Bosnia–Herz,40,1986,2.0,0,3,0,0.0,1.53,0.0,0.0,,0,0,Matches,3bb7f478,0.0,0.0
283,Breel Embolo,FW,ch Switzerland,29,1997,5.6,2,10,5,50.0,1.8,0.9,0.2,0.4,1,1,Matches,0b4f388a,50.0,0.0
284,Julio Enciso,FW,py Paraguay,22,2004,4.3,1,8,1,12.5,1.87,0.23,0.13,1.0,0,0,Matches,9cfbad36,12.5,0.0
285,Endrick,FW,br Brazil,19,2006,1.3,0,3,0,0.0,2.37,0.0,0.0,,0,0,Matches,a2728fbf,0.0,0.0
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,1,4,1,25.0,0.92,0.23,0.25,1.0,0,0,Matches,577efaec,25.0,0.0
292,Saeid Ezatolahi,MF,ir IR Iran,29,1996,2.9,0,6,2,33.3,2.05,0.68,0.0,0.0,0,0,Matches,314d95ac,33.33333333333333,0.03333333333333144
293,Eberechi Eze,MF,eng England,27,1998,2.3,0,5,0,0.0,2.13,0.0,0.0,,0,0,Matches,ae4fc6a4,0.0,0.0
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,1,3,2,66.7,1.23,0.82,0.33,0.5,0,0,Matches,ef1d36a1,66.66666666666666,0.03333333333334565
305,João Félix,MF,pt Portugal,26,1999,2.2,0,6,1,16.7,2.69,0.45,0.0,0.0,0,0,Matches,8aafd64f,16.666666666666664,0.03333333333333499
307,Bruno Fernandes,MF,pt Portugal,31,1994,4.7,0,9,3,33.3,1.92,0.64,0.0,0.0,0,0,Matches,507c7bdf,33.33333333333333,0.03333333333333144
308,Enzo Fernández,MF,ar Argentina,25,2001,7.3,2,12,4,33.3,1.64,0.55,0.17,0.5,0,0,Matches,5ff4ab71,33.33333333333333,0.03333333333333144
